id,airline_sentiment,airline_sentiment_confidence,negative_reason,airline,name,text,tweet_created,tweet_location
1,positive,1,,Virgin America,ryan_kravontka,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome,2/17/2015 9:49,"Los Angeles, CA"
2,neutral,1,,Virgin America,loungesong,@VirginAmerica Are there any sign up bonuses to enroll in Elevate?,2/17/2015 9:50,
3,negative,0.3573,Late Flight,Virgin America,jonovoss,@VirginAmerica my flight (6000) scheduled for 1pm departure still says on time but no plane at gate. Any update on how long of a delay?,2/17/2015 10:02,"Washington, DC"
4,positive,1,,Virgin America,Perceptions,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings,2/17/2015 10:33,"Fargo, ND ( & Tucson, AZ)"
5,neutral,0.6667,,Virgin America,the22207,@VirginAmerica Can you give me Silver Status for 12 months?,2/17/2015 10:40,
6,positive,1,,Virgin America,kellitweets,@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.,2/17/2015 10:54,Texas
7,neutral,1,,Virgin America,paulhting,@virginamerica Any way to change from Main Cabin to Main Cabin Select (on same flight) without paying a change fee penalty?,2/17/2015 11:27,"Charlottesville, VA"
8,positive,0.678,,Virgin America,BrandonS002,".@VirginAmerica not only was it great, but you return my calls the day after. Couldn't ask for more. #myVXexperience",2/17/2015 12:49,New York City
9,negative,1,Customer Service Issue,Virgin America,reekyrocks,@VirginAmerica started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.,2/17/2015 13:06,"Los Angeles, CA"
10,neutral,0.6831,,Virgin America,judy_202,@VirginAmerica how come ABC is the only one of the network channels you don't have?,2/17/2015 13:24,"Washington, DC"
11,positive,1,,Virgin America,HereticPharaoh,@VirginAmerica wifi AND better seating.,2/17/2015 14:03,"Jersey City, New Jersey "
12,positive,1,,Virgin America,funky_bbq,@VirginAmerica Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :),2/17/2015 14:04,
13,neutral,0.6731,,Virgin America,EnonThaPhenom,.@VirginAmerica I heard he has a virgin mobile hotspot ;),2/17/2015 14:06,"Oakland, Ca"
14,neutral,0.6457,,Virgin America,ICEportal,@VirginAmerica Good point!,2/17/2015 14:07,"Hollywood, FL"
15,positive,1,,Virgin America,tookthecollar,@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h,2/17/2015 14:09,
16,negative,1,Customer Service Issue,Virgin America,wtcgroup,@VirginAmerica Man of steel flies to more cities though...and with more frequency too.,2/17/2015 14:17,SF Bay Area/ Las Vegas
17,positive,1,,Virgin America,mynejas,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!,2/17/2015 14:26,"Oakland, CA"
18,positive,1,,Virgin America,mynejas,@VirginAmerica I love the dancing little richard. cool beans.,2/17/2015 14:36,"Oakland, CA"
19,positive,0.6858,,Virgin America,myvortex,"@VirginAmerica another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?",2/17/2015 15:31,could be anywhere
20,neutral,0.3542,,Virgin America,JAYXXX1,@VirginAmerica YES FYI  MY BFF,2/17/2015 15:32,
21,neutral,0.6198,,Virgin America,killawattannie,@VirginAmerica ...Please come to Minneapolis St. Paul!,2/17/2015 16:37,
22,positive,0.6733,,Virgin America,TheAdamRizz,@VirginAmerica @JezzieGoldz would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather,2/17/2015 16:44,"Dallas, Texas"
23,neutral,0.6533,,Delta,gloeb90,@JetBlue you guys get rid of the hip hop stations on Sirius XM?,2/20/2015 5:13,NY
24,negative,1,Late Flight,Delta,mariobonifacio,"@JetBlue Felt a bit like they were adding insult to injury, since we'll be in terminal 5 for seven hours until the next flight :/",2/20/2015 5:14,New York
25,negative,1,Bad Flight,Delta,Ch1en1,@JetBlue Denver-Boston 2/10 flight 994  and Boston-Denver 2/15 flight 493 (both planes!) visible snack crumbs on seats on all upon boarding,2/20/2015 5:18,
26,neutral,1,,Delta,BritishAirNews,@JetBlue's CEO battles to appease passengers and Wall Street - @TheVDT http://t.co/VD0tLomtwu,2/20/2015 5:21,UK
27,neutral,0.6579,,Delta,dentistmel,@JetBlue Oh I will. #Disney bound. #workhard #playsoon,2/20/2015 5:27,"East Greenwich,RI"
28,positive,1,,Delta,m1ss_DefJam,@JetBlue haha no need to apologize ðŸ˜ I'll be Flight Booking Problems sooner than Late Flightr. I love JetBlue,2/20/2015 5:37,Orlando - ÎœÎ£Î¥
29,negative,1,Bad Flight,Delta,NYYash,@JetBlue Why was flight 669 forced to return to NY when there was a malfunction? Why not land in the countless air strips surrounding Chi?,2/20/2015 5:38,"New York City, NY"
30,negative,1,Customer Service Issue,Delta,tlrichmond,@JetBlue   Phone agents can't see same flights I see online???  Can't change tickets even when I am paying. Very frustrating #jetblue,2/20/2015 5:43,
31,negative,1,Customer Service Issue,Delta,TyrellJourdanA,@JetBlue I waited in line all that time to be told by a crewmember that there's no update until 9:30 #3HrDelay #disappointed,2/20/2015 5:50,The Eastside of the Far Side
32,neutral,1,,Delta,NickMarvalous,@JetBlue no. Did not catch his name. I am sure Jason will know.,2/20/2015 6:07,
